NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05249127,64Cu-SAR-bisPSMA for Identification of Participants With Recurrence of Prostate Cancer (COBRA),https://clinicaltrials.gov/study/NCT05249127,COBRA,COMPLETED,The aim of this study is to determine the safety and efficacy of 64Cu-SAR-bisPSMA and determine the ability of 64Cu-SAR-bisPSMA Positron emission tomography (PET)/computed tomography (CT) to correctly detect the recurrence of prostate cancer in participants with biochemical recurrence of prostate cancer following definitive therapy.,YES,Biochemical Recurrence of Malignant Neoplasm of Prostate,DRUG: 64Cu-SAR-bisPSMA,"Safety and Tolerability, Incidence and severity of Treatment-Emergent Adverse Events (TEAE) and Serious Adverse Events. Adverse Events were assessed by CTCAE version 5.0, up to 7 days post injection|Participant-level Correct Detection Rate (CDR)- Day 0, The percentage of TP participants on the Day 0 scan out of all participants with a Day 0 scan., Day 0 (1- 4 hours) post injection|Participant-level CDR- Day 1, The percentage of TP participants on the Day 1 scan out of all participants with a Day 1 scan., Day 1 (24+/-6 Hours) post injection|Region-level Positive Predictive Value (PPV)- Day 0, The percentage of TP regions on the Day 0 scan out of all positive regions on the Day 0 scan., Day 0 (1- 4 hours)|Region-level PPV- Day 1, The percentage of TP regions on the Day 1 scan out of all positive regions on the Day 1 scan., Day 1 (24 +/- 6 hours)","Biodistribution of 64Cu-SAR-bisPSMA- SUVmean, The mean Standardized Uptake Value (SUVmean) in lesions, visceral soft tissue and bone., Day 0 (1 -4 hours) and Day 1 (24 +/- 6 hours) post injection|Biodistribution of 64Cu-SAR-bisPSMA- SUVmax, SUVmax in lesions, visceral soft tissue and bone, Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)|Biodistribution of 64Cu-SAR-bisPSMA- SUVr, Lesion to Background ratio. SUVmax of the lesion divided by the SUVmean of gluteus background, Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)|Participant-level PPV, Percentage of TP participants on the Day 0 or Day 1 scan out of all participants with a positive Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)|Participant-level Detection Rate (DR), Percentage of participants with a positive Day 0 or Day 1 scan out of all participants with a Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)|Participant-level False Positive Rate (FPR), Percentage of false positive (FP) participants on the Day 0 or Day 1 scan out of all participants with a positive Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)|Region-level FPR, Percentage of FP regions on the Day 0 or Day 1 scan out of all positive regions on the Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/-6 hours)|Participant-level Discrepant PET Negativity Rate, Percentage of participants with contradicting Day 0 and Day 1 results for whom the Reference Standard was positive., Day 0 (1-4 hours) and Day 1 (24 +/-6 hours)|Participant-level True Negative Rate (TNR), Percentage of TN participants on the Day 0 or Day 1 scan out of all participants with a negative Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/-6 hours)|Region-level TNR, Percentage of TN regions on the Day 0 or Day 1 scan out of all negative regions on the Day 0 or Day 1 scan., Day 0 (1-4 hours) and Day 1 (24 +/- 6 hours)",,Clarity Pharmaceuticals Ltd,,MALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,52,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,CLP06,2022-04-11,2023-08-08,2023-08-08,2022-02-21,2024-10-01,2024-10-01,"Tower Urology, Los Angeles, California, 90048, United States|GU Research Network, Omaha, Nebraska, 68130, United States|New Mexico Cancer Center, Albuquerque, New Mexico, 87109, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, 29572, United States|Urology San Antonio, San Antonio, Texas, 78258, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/27/NCT05249127/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/27/NCT05249127/SAP_002.pdf"
NCT05603351,Prostate Cancer Screening With Abbreviated MRI Protocol,https://clinicaltrials.gov/study/NCT05603351,ProstaPilot,RECRUITING,"Prostate cancer is one of the most common malignancies in the male population with incidence and mortality rates comparable to breast cancer in women, but in contrast, a population screening program that would fulfill all the recommended criteria is not yet available. According to international recommendations, the preventive PSA sampling used in clinical practice is not suitable because of the concurrent detection of clinically insignificant carcinomas in a major proportion of tests. These clinically non-significant cancers make up a significant and increasing proportion with age. Detection of non-significant cancers burdens the health care system and patients with the care that has no positive impact on their health. Current preventive serum prostate-specific antigen (PSA) testing does not distinguish benign hyperplasia and nonsignificant carcinoma from clinically significant cancer. It is therefore not suitable for full-scale screening.

According to current guidelines, magnetic resonance imaging (MRI) is indicated only in patients with an increased risk of cancer for detection or staging after biopsy and is not used for screening. According to recent studies, MRI has detected an increased proportion of significant cancers in the general population compared to screening based on PSA, while fewer clinically insignificant cancers have been detected. In screening, a shorter examination protocol without contrast medium (biparametric MRI) is used with a lower cost per examination, allowing to increase both the number of patients examined and patient comfort.

The main objective of the project is to assess the contribution of imaging in the screening of clinically significant prostate cancer and to validate the published results in the Czech population, and extend the screening model by the second round of examinations and additional laboratory markers. The secondary aim is to design a subsequent study with a larger number of participants allowing statistical evaluation, similar to the successful breast cancer screening.",NO,Prostate Cancer,DIAGNOSTIC_TEST: magnetic resonance|DIAGNOSTIC_TEST: serum PSA examination|PROCEDURE: Biopsy,"Assessment of the importance of the imaging test in the screening of significant prostate cancer in asymptomatic men, compared with PSA screening: Proportion of positive MRI findings, Proportion of positive MRI findings (PI-RADS 4+) in the general population of men aged 50-69 years., 2 years|Distribution of PI-RADS scores in the observed cohort., Distribution of PI-RADS scores (proportion of individual scores 1-5) in the screened population., 2 years|Proportion of positive PI-RADS detections in the cohort of patients indicated for biopsy., Ratio of significant and non-significant cancers in individual categories of PI-RADS scores in patients indicated for biopsy., 2 years","Feasibility evaluation of a larger-scale study of screening for significant prostate cancer using an imaging modality:, Concordance rate (%) between radiologists performing MRI scoring., 2 years|Evaluation of complications after an interventional procedure (biopsy)., Number of complications after biopsy., 2 years|Evaluation of patient adherence to preventive examination - active recruitment., Number of participants who agreed to be included in the study through used recruitment strategies., 2 years|Patient adherence to preventive examination - self-recruitment., Number of participants who contacted the team themselves with a request for testing., 2 years|Patient adherence to preventive examination., Number of participants who signed the informed consent and were enrolled in the study., 2 years|Evaluation of patient adherence to preventive examination., Number of participants who visited a screening facility., 2 years|Evaluation of patient adherence to preventive examination - completation of planned exams., Number of participants who completed the designated examination., 2 years|Evaluation of the financial burden of the study for the future preventive program of prostate cancer screening., Costs of individual inclusion and screening tests., 2 years|Detection and assessment of potential barriers to patient participation in the study. Assessment of patient adherence to remain in the study throughout the study period., Numbers and reasons of participants who did not complete scheduled tests, follow-up examinations, or withdrew informed consent., 2 years",,Masaryk Memorial Cancer Institute,Masaryk University,MALE,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,NU22-09-00539,2022-05-01,2025-06-30,2025-12-31,2022-11-02,,2022-11-02,"Masaryk Memorial Cancer Institute, Brno, Czech Republic, 65653, Czechia","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/51/NCT05603351/Prot_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/51/NCT05603351/ICF_001.pdf"
NCT05361902,A First Step Towards Ultra-hypofractionation for Unfavourable Intermediate and High-risk Prostate Cancer,https://clinicaltrials.gov/study/NCT05361902,UPRATE,ACTIVE_NOT_RECRUITING,This study aims to make a first step towards ultra-hypofractionation for high-risk prostate cancer by proving the technical feasibility of margin reduction of the seminal vesicles by combining the intra-fraction fiducial tracking with an online re-planning workflow for each fraction to account for the inter-fraction seminal vesicle motion.,NO,Prostate Cancer,RADIATION: Adaptive radiotherapy according to UPRATE protocol,"Feasibility of margin reduction expressed as percentage of underdosage at the seminal vesicles, Percentage of patients for which in 0 or 1 fraction out 6 fractions the seminal vesicles were underdosed. Underdosage being defined as 95% of the volume of SV receiving \< 95% of prescribed dose. In the case of unavoidable underdosage of the target on the reference plan, coverage below the achieved coverage in the reference plan will be seen as an underdosed fraction. The margin reduction of the SV is considered feasible when ≥90% of patients received successful treatments., 17 months","Acute toxicity (RTOG/EORTC), Quantify and assess toxicity using questionnaires and doctor reported outcomes. Expressed using Radiation Therapy Oncology Group and European Organization for Treatment of Cancer (RTOG/EORTC) toxicity scores: Grade 0-4 with 4 indicating highest toxicity, 20 months|Acute toxicity (CTCAE), Quantify and assess toxicity using questionnaires and doctor reported outcomes. Expressed using Common Terminology Criteria for Adverse Events (CTCAE Version 5.0). Scale from 0-5 with 5 indicating highest toxicity, 20 months|Late toxicity (RTOG/EORTC), Quantify and assess toxicity using questionnaires and doctor reported outcomes. Expressed using Radiation Therapy Oncology Group and European Organization for Treatment of Cancer (RTOG/EORTC) toxicity scores: Grade 0-4 with 4 indicating highest toxicity, 4 years|Late toxicity (CTCAE), Quantify and assess toxicity using questionnaires and doctor reported outcomes. Expressed using Common Terminology Criteria for Adverse Events (CTCAE Version 5.0). Scale from 0-5 with 5 indicating highest toxicity, 4 years",,Erasmus Medical Center,,MALE,"ADULT, OLDER_ADULT",NA,35,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,MEC-2021-0540,2022-07-07,2024-06-13,2027-02,2022-05-05,,2024-08-28,"Erasmus Medical Centre, Rotterdam, Zuid-Holland, 3015, Netherlands","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/02/NCT05361902/Prot_SAP_000.pdf"
NCT05123300,PRISMA-PET - Primary Staging of Prostate Cancer With PSMA,https://clinicaltrials.gov/study/NCT05123300,,RECRUITING,"Early and correct diagnostic staging is paramount to keep patients with newly diagnosed prostate cancer in the correct treatment tract to avoid under- and overdiagnosis in prostate cancer staging. With accurate staging, the investigators aim to save patients from side effects of insufficient or too extensive treatment. The investigators hypothesize that precise staging will lead to optimized individualized treatment and subsequently to prolonged survival and increased quality of life.

Prostate cancer is a very heterogeneous disease varying from indolent tumors to aggressive cancer types. About one-fifth of patients with newly detected high- or intermediate-risk prostate cancer present with bone metastases and their 3-years survival is less than 50%. Precise staging is required for planning relevant treatment that has the potential to increase survival.

The prostate-specific membrane antigen (PSMA) is overexpressed in prostate cancer cells and can serve as a target for precise diagnosis and staging. PSMA-positron emission tomography/computed tomography (PET/CT) has shown to be more accurate than traditional imaging, but there is a need for prospective trials analyzing the impact of primary staging with PSMA-PET/CT on treatment planning and patient benefit.

In a prospective multicenter study, the investigators plan to include 448 patients and randomize 1:1 to either traditional imaging or PSMA-PET/CT. The investigators aim to analyze whether PSMA-PET/CT increases progression-free survival and quality of life. Further, the investigators aim to validate the accuracy of primary staging with PSMA-PET/CT compared with conventional imaging.",NO,Prostate Cancer,DIAGNOSTIC_TEST: 18F-PSMA-1007,"Progression Free Survival (Group A vs. B), Time from treatment with curative intent to progression, eg. time from staging/curative treatment to PSA-value (or other clinical findings) deeming relapse., 1 to 3 years after staging","Treatment Strategy (Group A vs. B), Treatment strategy compared between the two groups. Rate of patients offered prostatectomy, curative radiotherapy, curative intended treatment, castration, up-front chemotherapy) in each group., Immediately after staging - 1-2 months after the scan.|Quality of life according to questionnaires (Group A vs. B), Difference in quality of life between the two groups judged by patient reported outcomes in questionnaires, an 8 point difference is considered clinically relevant in FACT-P. Minimum 0 points and maximum 156 points for FACT-P, higher score is worse. Level of significance will be 5%., 1 to 3 years after staging. Questionnaire: Functional Assessment of Cancer Therapy - Prostate Cancer (FACT-P v. 4)","Accuracy NaF-PET/CT compared to PSMA-PET/CT for detection of metastases, Difference in metastases detection between the two groups, Immediately after staging/up to 1 month after the scan.|Value of PSMA/MR for tumor staging and detection of lymph node and bone metastases in the pelvis., Comparing pathology results with PSMA-PET/MRi for evaluating tumor extension in the prostate gland, and lymph node and bone metastases in the pelvis., After prostatectomy, up to 3 months after the scan.",Odense University Hospital,Sygehus Lillebaelt|Esbjerg Hospital - University Hospital of Southern Denmark,MALE,"ADULT, OLDER_ADULT",NA,448,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020110469,2021-10-04,2026-10-01,2030-10-01,2021-11-17,,2024-04-05,"Department of Radiology and Nuclear Medicine, Esbjerg, 6700, Denmark|Department of Nuclear Medicine, Odense, 5000, Denmark|Department of Nuclear Medicine, Vejle, 7100, Denmark","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/00/NCT05123300/Prot_SAP_000.pdf"
NCT05161728,PSMA Response in Metastasized Hormone Sensitive Prostate Cancer,https://clinicaltrials.gov/study/NCT05161728,PET-MaN,RECRUITING,PSMA-PET/CT response measurements after LHRH agonist and upfront therapy in men diagnosed with de novo metastasized hormonal sensitive prostate cancer.,NO,Prostate Cancer,DIAGNOSTIC_TEST: PSMA-PET/CT,"CRPC, Development of castration-resistant prostate cancer, 18-24 mo after inclusion","2nd line therapy, Initiation of second line therapy for CRPC, 18-24 mo after inclusion",,Roderick van den Bergh,,MALE,"ADULT, OLDER_ADULT",NA,150,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,NL77093.041.21,2021-10-19,2025-10-19,2025-10-19,2021-12-17,,2024-01-09,"Meander MC, Amersfoort, Netherlands|Canisius-Wilhelmina Ziekenhuis, Nijmegen, Netherlands|St Antonius Ziekenhuis, Utrecht, Netherlands|UMC Utrecht, Utrecht, Netherlands","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/28/NCT05161728/Prot_SAP_000.pdf"
NCT05197257,68Ga-PSMA-11 PET in Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT05197257,,COMPLETED,Patients will receive a single dose of 68Ga-PSMA-11 and undergo a PET/CT or PET/MRI imaging study.,YES,Prostate Cancer|Prostate Adenocarcinoma,DRUG: Ga-PSMA-11,"Number of Participants With Adverse Events, Adverse Events (AEs) will be collected and reviewed to monitor for safety. Incidence and severity of AEs and adverse events will be estimated with 95% confidence intervals summarized with descriptive statistics. CTCAE version 5.0 will be used to grade AEs., Immediately after administration and for 1 hour and 30 minutes afterwards","Compare the Diagnostic Impact of 68Ga-PSMA-11 PET/CT Imaging Over Current Standard of Care Imaging Modalities., Determine the frequency of positive PSMA PET scans in relation to the PSA value before the PSMA scans and compared to conventional imaging. Results will be summarized descriptively with 95% confidence intervals. Determine rate of overall changes in management by comparing planned management strategy using conventional imaging with executed management strategy incorporating information from 68Ga-PSMA-11 PET/CT, regardless of treatment modality.

Analysis: The rate of change in management based on the incorporation of68Ga-PSMA-11 PET/CT results will be expressed as the percentage of total patients imaged in which change in management occurred, regardless of treatment modality. The rate of change in management will also be estimated within each group (initial staging, biochemical recurrence, and pre/post treatment). 95% confidence intervals (CIs) will be used to express precision of the estimates., 2 hours",,"University of Colorado, Denver",,MALE,"ADULT, OLDER_ADULT",PHASE3,39,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,21-4070.cc,2021-09-29,2022-04-14,2022-04-14,2022-01-19,2023-11-13,2023-11-13,"Colorado Research Center, Aurora, Colorado, 80045, United States|UCHealth-Metro Denver, Denver, Colorado, 80217-3364, United States","Study Protocol, Statistical Analysis Plan, and Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/57/NCT05197257/Prot_SAP_ICF_000.pdf"
NCT06281769,Prostate Cancer Detection Rate of Targeted Biopsies With PCaVision,https://clinicaltrials.gov/study/NCT06281769,,RECRUITING,The primary objective is to demonstrate non-inferiority of the detection rate of clinically significant prostate cancer (csPCa) in targeted biopsies based on PCaVision imaging (PCaVision pathway) in comparison with the detection rate of clinically significant cancer in targeted biopsies based on MRI (MRI pathway).,NO,Prostate Cancer,DIAGNOSTIC_TEST: 3D multi-parametric ultrasound targeted biopsy pathway using PcaVision|DIAGNOSTIC_TEST: MRI targeted biopsy pathway,"Detection rate of clinically significant prostate cancer (csPCa) in targeted biopsies based on PCaVision imaging in comparison with the detection rate of clinically significant cancer in targeted biopsies based on MRI., csPCa defined as GG ≥ 2 in any of the biopsy cores taken from a lesion, Two weeks","Proportion of men in whom targeted biopsies could be safely omitted in the PCaVision pathway versus the MRI pathway., Defined as the number of men in whom no lesions for target biopsies have been identified by PCaVision while no CsPCa is detected in either MRI targeted biopsies or systematic biopsies., Two weeks|Detection rate of three different definitions of prostate cancer in targeted biopsies based on PCaVision imaging (PCaVision pathway) in comparison with the detection rate of targeted biopsies based on MRI (MRI pathway)., (i) ISUP ≥ 3 in any of the biopsy cores taken from a lesion; (ii) ISUP ≥ 2 with cribriform growth and/or intraductal carcinoma (CR/IDC) in any of the biopsy cores taken from a lesion; (iii) ISUP = 1, Two weeks|Number of men in whom the PCaVision pathway generated insufficient quality images with the number of men with insufficient quality MRI images in the MRI pathway., Two weeks|Detection rate of clinically significant prostate cancer in targeted biopsies based on PCaVision imaging using various incremental levels of PCaVision's image quality requirements in comparison with the detection rate of targeted biopsies based on MRI., Two weeks",,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Angiogenesis Analytics,MALE,"ADULT, OLDER_ADULT",NA,438,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,NL82101.000.22,2024-02-26,2025-01-01,2025-01-01,2024-02-28,,2024-06-21,"Amsterdam UMC - location VUmc, Amsterdam, Netherlands|Andros Clinics, Baarn, Netherlands|Spaarne Gasthuis, Hoofddorp, Netherlands|St. Antonius, Nieuwegein, Netherlands|Fransiscus Gasthuis, Rotterdam, Netherlands","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/69/NCT06281769/Prot_SAP_001.pdf"
NCT05815316,18F-PSMA PET/MRI for the Diagnosis of Clinically Significant Prostate Cancer,https://clinicaltrials.gov/study/NCT05815316,,NOT_YET_RECRUITING,"This project aims to evaluate the role of fully hybrid PET/MRI with 18F-PSMA and multiparametric MR imaging (mpMRI) as one-stop approach for the diagnosis of clinically significant prostate cancer (csPCa).

This prospective PET/MRI clinical evaluation will ideally reduce the number of false negative findings, while at the same time, allowing also to reduce the number of unnecessary prostate biopsies in patients with low-risk, clinically indolent PCa.

The demonstration that, compared to mpMRI alone, the use of PET/MRI with 18F-PSMA has a superior diagnostic accuracy in detecting men with csPCa will strongly support the inclusion of 18F-PSMA as pre-biopsy triage test, in addition to mpMRI in daily clinical practice.",NO,Prostate Cancer,DRUG: 18F-PSMA-1007,"To assess the accuracy and the predictive value of fully hybrid 18F-PSMA PET/MRI for the diagnosis of csPCa, Diagnostic accuracy measured with sensitivity, specificity, positive and negative predicted value, Biopsy at day 90 (+/-90)|To compare the proportion of csPCa missed by 18F-PSMA PET scan or mpMRI alone, The number of csPCa missed by PET and MR imaging when read independently, Biopsy at day 90 (+/-90)|To report the change in the detection of clinically insignificant PCa when combining mpMRI and 18F-PSMA PET, and consequently the proportion of unnecessary biopsies potentially spared., Only in patients with positive mpMRI and negative 18F-PSMA PET: The proportion of clinically insignificant PCa, Biopsy at day 90 (+/-90)",,,IRCCS San Raffaele,,MALE,"ADULT, OLDER_ADULT",PHASE2,167,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,RF-2021-12372278,2023-04-30,2025-07-31,2026-04-29,2023-04-18,,2023-04-18,,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/16/NCT05815316/Prot_SAP_000.pdf"
NCT06064149,The CArdiovascular Risk Evaluation in Men With Prostate Cancer Study (CARE-PC) Pilot Feasibility Study,https://clinicaltrials.gov/study/NCT06064149,,RECRUITING,"The overarching goal of this trial is to develop mechanisms to improve cardiovascular care among such prostate cancer patients receiving ADT by increasing patient awareness of individualized cardiovascular risk estimates and mitigation opportunities. Patients will be given access to a web-based quality improvement tool to educate patients of cardiovascular risks in prostate cancer and to inform them of their individualized, estimated cardiovascular risk and guideline-based risk mitigation recommendations.

The study will assess the feasibility of this web-based application as a cardiovascular education tool for patients with prostate cancer.

The study will also evaluate if completion of the web-based tool improves cardiovascular care access and risk mitigation for patients with prostate cancer.",NO,Prostate Cancer,BEHAVIORAL: CARE-PC Web-Based Application,"CARE-PC Web-Based Application Completion Rate, Completion rate measured as the proportion of participants successfully completing the web-based application out of the total number of subjects approached., 18 months","Patient acceptance and perception of the web-based application, Acceptance/perception measured by brief embedded survey following participation in the web-based application, 18 months|Percent accuracy of patient-derived CV- and prostate cancer-related data elements, Accuracy assessed through parallel medical chart review by cardiology and oncology clinicians, 18 months|Prevalence of CV risk factors/disease at the time of CARE-PC web-based application participation, Prevalence assessed through parallel medical chart review by cardiology and oncology clinicians, 18 months|Proportion of participants with current cardiologist involvement in CV care at the time of web-based application participation, Patient reported cardiologist involvement via CARE-PC application at time of application survey completion, 18 months|Proportion of participants engaging in CV care within 6 months of CARE-PC web application participation, CV care engagement assessed through medical chart review by investigators within 6 months post-application survey completion, 18 months|Proportion of participants having changes in CV risk-reducing medications within 6 months of CARE-PC application participation., Proportion of participants having changes in CV risk-reducing medications assessed through parallel medical chart review by cardiology and oncology clinicians within 6 months post-application survey completion, 18 months",,Vivek Narayan,National Comprehensive Cancer Network,MALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,UPCC 07823|853844,2023-11-14,2025-06-30,2026-06-30,2023-10-03,,2024-02-28,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/49/NCT06064149/Prot_SAP_000.pdf"
NCT04936334,The Role of 68Ga-PSMA-11 PET (Prostate Specific Membrane Antigen) in Surgery Guidance in Prostate Cancer,https://clinicaltrials.gov/study/NCT04936334,,COMPLETED,"Obtain PSMA-PET imaging preoperatively and calculate performance for predicting extra-prostatic extension based on whole-mount pathology (gold standard).

Quantify the frequency of proper treatment changes directed by PSMA-PET, focusing on appropriate preservation of surrounding structures important for genito-urinary function including: 1) Bladder neck, 2) Nerve bundles, 3) Urethral Sphincter (Figure 4).

Directly compare PSMA-PET performance for predicting extra-prostatic extension to standard-of-care assessments.

Assess quality of life changes from preoperative baseline.",YES,Prostate Cancer,DIAGNOSTIC_TEST: 68Ga-PSMA-11 PET Scan,"Sensitivity of PSMA-PET and MRI Imaging Preoperatively for Predicting Extra-prostatic Extension, Sensitivity detecting extra-prostatic extension of cancer at the nerve bundles, The patients underwent a 60minute PET exam. The surgery was generally performed within 1month of the PET scan. The pathology was done 5-10 days after the surgery.|Specificity of PSMA-PET and MRI, Specificity of PSMA-PET and MRI to detect Extra-prostatic extension prior to prostatectomy. Whole mount pathology is used as the reference standard., Pre-surgery prediction.","1) Quantify the Frequency of Proper Treatment Changes for Nerve Sparing Directed by PSMA-PET, Rate of treatment changes, 60 Days",,Clinton Bahler,,MALE,"ADULT, OLDER_ADULT",PHASE2,51,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,IUSCCC-0760,2021-06-11,2022-07-18,2022-07-19,2021-06-23,2023-07-27,2023-08-03,"Indiana University Health University Hospital, Indianapolis, Indiana, 46202, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/34/NCT04936334/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/34/NCT04936334/ICF_001.pdf"
